GameID,AwayTeam,HomeTeam,StartDate,StartTime
19771214,Boston Celtics,New York Knicks,2025-04-09,09:37:00
8507215,New Orleans Pelicans,Brooklyn Nets,2025-04-09,09:41:00
15936319,Minnesota Timberwolves,Milwaukee Bucks,2025-04-09,10:10:00
33951125,Los Angeles Lakers,Oklahoma City Thunder,2025-04-09,10:10:00
30846750,Golden State Warriors,Phoenix Suns,2025-04-09,12:00:00
10824578,San Antonio Spurs,Los Angeles Clippers,2025-04-09,12:40:00
89459490,Boston Celtics,Orlando Magic,2025-04-10,09:10:00
62437785,Los Angeles Lakers,Dallas Mavericks,2025-04-10,09:40:00
6711683,Miami Heat,Chicago Bulls,2025-04-10,10:10:00
91322500,Portland Trail Blazers,Utah Jazz,2025-04-10,11:10:00
7007918,Denver Nuggets,Sacramento Kings,2025-04-10,12:10:00
